Time(s),Fx,Fy,Fz,Mx,My,Mz
3.008957,0.0004,-0.0138,-0.0235,0.0003,-0.0001,-0.0002
3.018985,0.0021,-0.0155,-0.0239,0.0003,-0.0000,-0.0001
3.029014,0.0037,-0.0171,-0.0243,0.0002,0.0000,-0.0000
3.039043,0.0020,-0.0167,-0.0193,0.0002,0.0002,-0.0000
3.049086,0.0035,-0.0145,-0.0148,0.0003,0.0001,-0.0001
3.059115,0.0018,-0.0143,-0.0055,0.0004,0.0001,-0.0001
3.069145,0.0003,-0.0105,-0.0077,0.0004,0.0000,0.0000
3.079174,-0.0011,-0.0108,-0.0044,0.0003,0.0001,0.0000
3.089203,-0.0023,-0.0110,-0.0067,0.0003,0.0001,0.0000
3.099231,-0.0003,-0.0129,-0.0140,0.0005,0.0001,-0.0001
3.109259,-0.0048,-0.0147,0.0005,0.0006,-0.0000,-0.0002
3.119288,-0.0025,-0.0127,0.0030,0.0004,-0.0000,-0.0002
3.129327,-0.0067,-0.0109,-0.0001,0.0005,0.0000,-0.0003
3.139356,-0.0074,-0.0147,0.0025,0.0005,-0.0000,-0.0003
3.149384,-0.0080,-0.0181,0.0100,0.0005,0.0000,-0.0003
3.159413,-0.0085,-0.0176,0.0115,0.0004,0.0001,-0.0003
3.169440,-0.0059,-0.0153,0.0286,0.0004,0.0002,-0.0003
3.179474,0.0027,-0.0132,0.0020,0.0003,0.0001,-0.0003
3.189503,0.0011,-0.0096,-0.0114,0.0002,0.0000,-0.0002
3.199532,0.0028,-0.0081,-0.0183,0.0002,0.0001,-0.0001
3.209560,0.0012,-0.0014,-0.0035,0.0001,0.0001,-0.0001
3.219589,0.0028,-0.0044,0.0151,-0.0001,0.0002,-0.0002
3.229617,0.0012,-0.0052,0.0109,0.0000,0.0003,-0.0002
3.239646,0.0029,-0.0078,0.0018,0.0000,0.0003,-0.0001
3.249674,0.0012,-0.0047,0.0041,-0.0001,0.0002,-0.0000
3.259702,-0.0003,-0.0055,0.0115,0.0001,0.0002,-0.0000
3.269731,0.0016,-0.0080,-0.0029,0.0000,0.0002,0.0000
3.279759,0.0001,-0.0049,-0.0054,-0.0001,0.0002,0.0001
3.289788,-0.0013,-0.0093,0.0030,0.0001,0.0002,0.0000
3.299816,0.0037,-0.0096,0.0052,0.0002,0.0002,0.0001
3.309846,0.0051,-0.0153,0.0125,0.0003,0.0002,-0.0001
3.319874,0.0063,-0.0168,0.0086,0.0004,0.0002,-0.0000
3.329901,0.0075,-0.0182,0.0050,0.0004,0.0003,0.0000
3.339929,0.0023,-0.0159,0.0018,0.0004,0.0002,-0.0000
3.349957,0.0008,-0.0156,-0.0012,0.0002,0.0001,-0.0000
3.359985,0.0025,-0.0135,-0.0248,0.0001,-0.0001,0.0001
3.370012,0.0040,-0.0116,-0.0198,0.0003,0.0000,0.0000
3.380041,0.0053,-0.0135,-0.0153,0.0003,0.0000,0.0001
3.390082,0.0034,-0.0134,-0.0007,0.0004,0.0001,0.0001
3.400111,0.0049,-0.0152,-0.0138,0.0004,0.0000,0.0002
3.410139,0.0061,-0.0131,-0.0047,0.0004,0.0001,0.0001
3.420167,0.0073,-0.0112,0.0141,0.0004,0.0000,-0.0001
3.430198,0.0052,-0.0114,0.0258,0.0005,0.0001,-0.0003
3.440227,0.0034,-0.0116,0.0256,0.0003,0.0002,-0.0003
3.450256,0.0048,-0.0135,0.0151,0.0002,0.0002,-0.0002
3.460284,0.0030,-0.0134,0.0161,0.0001,0.0002,-0.0001
3.470312,0.0014,-0.0134,0.0012,0.0001,0.0001,-0.0001
3.480342,-0.0001,-0.0098,-0.0122,0.0001,0.0002,-0.0001
3.490370,0.0017,-0.0082,-0.0032,0.0001,0.0002,-0.0001
3.500398,0.0033,-0.0105,-0.0004,-0.0000,0.0002,-0.0002
3.510427,0.0017,-0.0143,-0.0083,-0.0000,0.0002,-0.0002
3.520456,0.0002,-0.0106,-0.0207,-0.0001,0.0001,-0.0001
3.530487,0.0019,-0.0126,-0.0319,-0.0000,0.0001,-0.0001
3.540516,0.0004,-0.0090,-0.0262,-0.0001,0.0000,-0.0002
3.550546,-0.0040,-0.0076,-0.0158,-0.0002,0.0000,-0.0002
3.560575,-0.0050,-0.0117,-0.0065,-0.0002,0.0001,-0.0002
3.570603,-0.0027,-0.0136,-0.0138,-0.0002,0.0001,-0.0001
3.580631,-0.0037,-0.0135,-0.0257,-0.0001,0.0000,-0.0001
3.590660,-0.0017,-0.0045,-0.0153,0.0001,0.0001,-0.0002
3.600692,-0.0028,-0.0053,-0.0217,0.0001,0.0001,-0.0002
3.610723,-0.0008,-0.0042,-0.0117,0.0003,0.0001,-0.0002
